x_HyMap_Haib_Kornia.jpg,y_HyMap_Haib_Kornia.jpg,x_WV3_Haib_Kornia.jpg,y_WV3_Haib_Kornia.jpg
115,7,135,10
195,9,212,17
80,12,101,14
65,13,81,17
244,14,260,22
684,15,692,48
61,16,81,17
173,20,194,25
241,23,257,34
260,23,277,33
275,23,291,33
630,25,637,54
60,27,80,27
263,28,277,33
278,28,291,33
114,29,134,32
128,29,147,32
155,30,174,35
74,31,96,31
168,31,186,36
46,33,67,31
222,33,239,41
294,33,311,46
131,34,151,39
173,34,186,36
622,35,630,61
84,36,104,37
117,36,134,32
258,38,274,47
197,40,216,46
111,42,132,47
229,42,246,51
163,43,181,46
309,43,322,53
148,44,168,48
153,44,173,48
292,44,307,51
266,45,281,54
123,47,142,47
275,48,291,54
295,48,309,58
55,49,75,49
124,50,144,52
632,50,639,74
85,52,106,52
296,52,309,58
609,53,621,84
61,56,83,54
75,56,97,55
128,57,149,60
91,58,110,59
289,59,305,68
294,59,305,68
45,60,68,56
215,60,234,65
239,60,255,67
222,61,237,66
114,63,133,62
169,63,187,67
269,63,284,70
76,65,95,65
187,65,206,69
272,65,284,70
673,65,681,92
293,67,308,75
656,68,660,94
117,69,136,69
160,69,179,72
100,70,121,73
848,70,848,105
42,71,63,67
223,71,238,73
280,71,295,77
68,72,90,71
840,72,843,109
843,74,843,109
662,75,668,102
820,76,821,110
237,77,255,82
121,78,140,76
835,79,835,113
681,80,685,108
315,81,329,90
675,81,680,106
640,82,646,104
882,82,881,117
646,83,646,104
868,83,865,119
61,84,82,82
262,84,279,89
366,84,378,95
18,85,39,78
54,85,74,81
247,85,261,87
117,86,138,86
154,86,175,89
89,87,109,83
231,87,248,89
333,87,345,94
811,87,812,120
319,88,333,96
308,89,322,95
553,90,559,111
817,90,820,124
835,90,838,119
106,91,124,87
880,91,882,125
159,92,179,93
825,92,824,124
135,93,154,91
282,93,297,100
366,93,381,106
671,93,674,118
118,94,138,93
182,94,200,93
889,94,886,129
67,95,87,90
357,96,370,108
882,96,880,131
332,97,345,108
870,97,869,133
339,98,345,108
680,98,681,123
71,99,90,93
162,99,180,98
285,99,299,104
819,99,820,132
17,100,40,92
313,100,325,113
371,100,381,106
35,101,57,94
150,101,164,93
476,101,483,114
577,101,584,121
656,101,658,125
862,101,858,135
849,102,848,134
114,103,133,100
184,103,202,104
828,103,828,135
177,104,193,106
837,104,836,136
897,104,894,139
127,105,145,102
324,105,337,111
381,105,390,114
814,105,814,136
138,106,157,100
143,106,157,100
428,106,436,117
238,107,253,112
389,107,399,117
58,108,76,102
153,108,169,104
450,108,458,120
65,109,84,103
94,109,111,104
119,109,137,107
171,109,187,109
313,109,325,113
472,109,481,125
863,109,860,142
109,110,125,106
200,110,214,110
99,111,111,104
872,112,869,146
475,113,481,125
835,113,833,144
348,114,359,121
561,114,567,129
79,115,98,111
173,115,188,113
532,115,536,127
842,115,839,146
71,116,89,110
85,116,103,111
132,116,148,110
379,117,390,126
391,117,400,127
155,118,171,118
191,118,206,119
199,118,212,118
231,118,245,119
446,118,453,128
651,118,650,140
813,118,812,148
834,118,833,149
542,119,547,133
626,119,630,140
44,120,61,106
94,120,111,114
146,120,161,118
176,120,190,119
268,120,278,123
366,120,375,127
601,120,605,140
291,122,302,124
674,122,675,144
678,122,675,144
282,123,293,127
413,123,422,132
237,124,248,125
816,124,806,154
874,124,872,155
62,125,84,119
118,125,135,121
131,125,151,122
324,125,333,130
349,125,359,131
806,125,806,154
842,125,838,158
881,125,880,158
135,126,151,122
849,126,856,157
68,127,84,119
158,127,173,125
197,127,209,126
143,129,159,129
162,130,177,126
354,130,364,137
453,130,461,142
15,131,32,116
837,131,832,161
126,132,141,126
288,132,300,135
293,132,304,135
52,133,70,125
397,133,405,141
606,133,610,145
676,133,679,154
844,133,843,166
262,134,274,139
370,134,380,145
618,134,620,153
57,135,79,127
661,135,666,157
871,135,868,165
169,136,183,136
119,137,134,131
165,137,183,136
99,138,115,135
131,139,148,134
158,139,171,136
238,139,250,138
599,139,604,158
149,140,163,134
830,141,826,171
851,141,847,173
309,142,319,145
45,143,62,134
176,143,190,140
299,143,310,145
381,143,387,146
708,143,709,165
64,144,80,135
293,144,302,146
319,144,330,148
496,144,500,155
235,145,247,144
390,145,398,150
288,146,296,146
168,147,181,143
266,147,278,147
502,147,506,159
158,148,172,142
7,149,26,137
207,149,219,147
405,149,414,157
228,150,240,147
372,150,381,157
646,150,649,169
850,150,845,181
146,151,160,140
282,151,288,148
830,151,824,184
125,152,141,146
138,152,154,139
315,152,322,155
817,152,810,184
839,152,833,182
190,153,203,145
795,153,796,179
225,154,237,155
278,155,290,157
248,156,260,156
161,157,175,150
187,158,196,152
612,158,614,176
770,158,769,181
783,158,782,184
814,158,810,184
78,159,92,150
289,159,298,157
302,159,309,158
23,160,39,146
99,160,114,152
640,160,641,177
839,160,833,188
154,161,163,154
513,161,515,172
201,162,212,156
272,162,282,162
913,162,909,192
250,163,260,156
127,164,141,156
164,164,177,158
388,164,395,169
765,165,763,189
53,166,67,155
316,166,323,166
138,167,152,160
89,168,102,159
148,168,162,162
99,169,112,159
213,169,225,168
238,169,248,163
250,169,261,167
802,170,802,196
223,171,232,159
534,171,535,180
155,173,168,168
186,174,194,167
16,175,31,161
793,175,789,200
27,176,42,161
167,176,176,169
273,176,281,174
374,176,380,178
658,176,657,196
89,177,100,169
194,178,204,171
133,179,149,174
225,179,234,175
29,180,42,161
125,181,137,168
250,181,259,179
702,181,698,202
875,182,872,210
889,183,877,213
17,184,34,166
20,184,34,166
80,184,93,173
152,184,165,176
171,186,178,182
800,186,795,209
127,187,138,175
294,187,302,184
196,189,204,179
705,189,701,207
821,189,814,213
865,190,856,217
812,191,806,213
870,191,856,217
266,192,274,190
112,193,125,186
156,193,166,184
171,194,178,182
627,194,625,209
849,194,841,218
106,195,117,182
133,195,145,187
252,195,261,190
242,196,251,189
148,199,159,189
217,199,225,193
97,200,108,189
116,201,126,192
187,201,197,194
192,201,203,196
209,201,218,195
874,201,864,227
141,202,152,191
808,202,799,225
180,203,191,196
227,203,236,197
298,203,304,200
337,203,341,203
134,204,145,187
261,204,268,198
856,204,848,224
779,207,771,229
797,207,789,229
142,208,152,191
149,208,157,196
763,208,754,228
12,209,26,191
35,209,48,195
191,209,201,202
769,209,761,229
197,210,206,203
877,210,868,236
26,211,40,197
112,211,126,202
228,213,237,206
78,215,91,200
141,215,146,197
310,215,317,211
164,217,174,205
788,217,782,235
825,217,817,238
738,218,730,236
254,219,263,212
769,219,761,237
780,219,775,238
807,219,800,239
861,219,852,242
870,219,862,242
178,220,190,211
209,221,218,213
218,221,227,212
263,221,271,215
798,221,791,241
190,222,200,212
272,223,279,216
329,223,334,219
202,224,210,214
58,225,72,208
164,225,174,213
787,225,782,243
145,226,152,211
724,226,718,241
253,227,260,218
338,227,343,223
173,228,185,216
758,228,752,244
829,228,821,248
708,229,699,247
102,230,114,215
193,230,202,219
822,230,814,249
282,231,291,226
814,231,803,252
854,231,845,252
302,232,308,227
351,232,356,227
177,233,188,223
806,233,803,252
227,234,234,224
289,234,297,229
318,234,322,230
201,237,209,227
603,237,603,246
166,238,178,227
812,238,807,257
869,238,861,260
264,239,271,228
91,240,103,223
242,240,249,230
730,240,724,254
820,240,814,260
183,241,193,230
835,241,826,261
583,242,584,249
219,243,228,232
209,244,217,232
287,244,294,237
18,245,31,224
62,245,74,227
337,245,343,239
606,245,606,253
848,245,838,262
701,246,694,258
721,247,716,261
54,248,66,228
153,248,162,233
273,249,281,242
645,249,644,258
901,249,894,272
513,250,512,248
243,251,250,241
292,251,298,243
496,251,496,253
635,251,633,260
814,251,809,268
584,252,584,258
162,253,170,237
324,253,329,247
850,253,841,273
117,254,125,236
136,254,145,237
344,254,349,248
187,255,195,242
513,257,515,259
733,257,725,270
142,258,150,241
178,258,187,243
196,258,204,245
250,259,257,248
563,259,562,264
355,260,359,255
550,260,549,263
537,261,538,265
126,262,135,244
151,262,161,247
188,262,196,246
601,262,599,268
803,262,798,277
360,263,363,257
194,264,202,252
571,264,570,267
118,266,125,247
482,266,483,267
498,266,498,268
818,266,811,283
902,267,894,287
166,268,176,253
634,268,631,276
171,269,181,254
186,269,193,254
726,269,722,285
463,271,462,271
614,271,614,278
132,273,139,254
276,273,283,263
342,273,348,267
192,274,201,260
271,274,277,263
517,274,517,282
636,274,631,276
357,275,361,267
451,276,451,270
829,276,818,293
505,277,504,277
578,277,576,282
847,277,833,298
208,278,216,264
871,278,859,297
110,279,117,259
181,279,188,265
242,279,249,268
255,279,263,268
316,279,321,271
334,279,339,271
215,280,222,268
517,280,517,282
640,280,636,284
32,281,44,257
721,281,715,292
244,282,249,268
63,283,73,257
190,284,198,269
42,285,55,262
202,285,209,271
289,285,295,275
337,285,339,271
847,285,833,298
222,286,231,275
319,286,321,271
478,286,479,285
506,286,507,287
754,286,748,298
874,286,863,304
111,288,117,267
796,288,788,300
214,289,223,278
98,290,104,270
174,290,180,274
189,290,196,275
607,290,604,295
295,291,299,279
593,291,591,295
856,291,844,307
248,293,254,279
839,293,827,308
205,294,212,279
601,295,597,304
486,296,490,294
775,296,772,306
111,297,118,275
101,298,107,276
171,298,180,280
194,298,202,282
608,299,605,302
131,301,137,282
600,301,597,304
17,303,28,277
269,303,275,291
878,304,868,324
143,306,149,285
342,306,348,297
489,306,489,302
217,307,223,290
113,308,120,289
120,308,125,285
434,309,434,306
668,309,665,313
47,310,58,286
677,310,665,313
94,311,100,287
194,311,200,295
476,311,476,308
568,311,570,309
84,312,91,290
591,312,587,313
645,312,642,316
135,313,142,292
489,314,486,311
298,315,301,304
157,316,162,296
202,316,207,298
607,316,602,317
889,316,877,332
289,317,290,303
699,317,689,319
809,317,797,328
232,318,237,302
278,318,281,304
357,318,357,306
669,318,664,323
103,319,106,294
594,320,591,321
92,321,97,296
642,321,639,324
149,322,156,301
882,322,872,337
720,323,710,331
121,324,126,302
205,325,208,304
533,325,528,323
602,326,598,327
77,327,84,302
278,327,281,313
174,328,177,307
713,328,710,331
488,329,484,324
846,329,836,344
861,329,849,342
873,329,862,343
88,330,93,303
192,330,194,307
336,330,337,318
344,330,344,317
517,330,512,326
154,332,160,310
410,332,408,321
507,332,504,328
524,332,519,328
130,333,134,311
284,333,285,317
178,334,182,313
669,335,663,340
842,335,832,346
479,336,474,330
866,336,857,350
108,337,115,314
311,338,313,323
340,338,341,325
770,339,761,348
631,340,620,342
318,342,319,327
392,342,389,330
580,342,572,341
778,344,761,348
874,344,863,357
161,345,167,323
347,346,349,334
624,346,612,346
595,347,586,345
384,348,381,339
586,348,586,345
489,349,484,343
497,349,492,343
605,349,594,349
616,349,604,348
854,349,843,357
329,350,329,334
551,355,542,351
868,355,857,367
431,357,427,347
294,358,293,341
115,359,123,333
470,365,465,356
498,365,493,358
651,366,638,365
279,367,277,348
622,368,613,367
297,369,295,353
496,373,489,366
628,375,620,376
330,378,328,360
618,380,607,378
607,383,597,377
628,384,617,383
619,388,610,384
344,392,336,370
620,395,612,392
379,396,373,380
634,397,625,389
585,404,574,398
336,406,331,388
597,409,585,404
602,422,590,414
608,427,597,419
604,435,592,426
